"country","city","length","accuracy","files"
80,22664,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,26299,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,26502,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,26750,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,27530,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,27839,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,34674,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,37868,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,49406,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,52486,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
77,65,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,152,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,160,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,234,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,281,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,410,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,425,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,431,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,450,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,453,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,478,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,538,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,582,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,586,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,620,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,888,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,961,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,989,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1056,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1258,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1304,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1361,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1435,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1477,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1586,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
77,1606,9029,0.958688669841621,"./Temp/BST-Cities/77-65.bst"
